Seconds.milliseconds since 1970,Queue size of CMController,Acceleration value in x-direction,Acceleration value in y-direction,Acceleration value in z-direction,Label used for the current sample
1352711960.001,0,-0.048005,0.008661,-0.000163,0
1352711960.012,0,-0.037031,0.014828,0.005171,0
1352711960.023,0,-0.023885,0.025673,-0.016782,0
1352711960.034,0,-0.010792,0.024351,-0.016125,0
1352711960.044,0,-0.015947,0.021181,-0.012617,0
1352711960.055,0,-0.018731,0.016926,-0.017909,0
1352711960.066,0,-0.019418,0.011790,-0.024279,0
1352711960.077,0,-0.030239,0.010582,-0.020776,0
1352711960.087,0,-0.026617,0.014180,-0.001534,0
1352711960.098,0,-0.017126,0.012030,0.004399,0
1352711960.109,0,-0.009262,0.010093,0.001928,0
1352711960.120,0,-0.015290,0.023455,-0.000765,0
1352711960.130,0,-0.017930,0.020240,0.064556,0
1352711960.141,0,-0.014207,-0.003629,0.065387,0
1352711960.152,0,-0.019534,-0.003558,0.035392,0
1352711960.163,0,-0.014635,-0.002636,0.027499,0
1352711960.173,0,-0.010646,0.003107,0.023744,0
1352711960.184,0,-0.012520,0.006963,0.003336,0
1352711960.195,0,-0.015954,0.006790,-0.023272,0
1352711960.206,0,-0.023786,0.000352,-0.017144,0
1352711960.216,0,-0.027803,0.004833,-0.013013,0
1352711960.227,0,-0.019048,0.007252,-0.026858,0
1352711960.238,0,-0.000451,0.010365,-0.041580,0
1352711960.249,0,-0.003228,0.021270,-0.035111,0
1352711960.259,0,-0.007875,0.019863,-0.033256,0
1352711960.270,0,-0.014431,0.019039,-0.024854,0
1352711960.281,0,-0.013668,0.010675,0.004425,0
1352711960.291,0,-0.012264,0.012440,0.008088,0
1352711960.302,0,-0.002695,0.000655,-0.026630,0
1352711960.313,0,0.006605,0.009643,-0.063259,0
1352711960.324,0,0.017328,0.038786,-0.063988,0
1352711960.334,0,0.019034,0.052024,-0.050666,0
1352711960.345,0,0.018964,0.056035,-0.012097,0
1352711960.356,0,-0.004120,0.037841,0.030740,0
1352711960.367,0,-0.084839,0.008098,-0.075467,0
1352711960.377,0,-0.072995,0.028961,-0.032760,0
1352711960.388,0,-0.053668,0.036922,0.004739,0
1352711960.399,0,-0.011096,0.010483,0.032081,0
1352711960.410,0,0.026600,-0.007101,0.061069,0
1352711960.420,0,0.043746,0.019241,0.113740,0
1352711960.431,0,0.041743,0.060223,0.140518,0
1352711960.442,0,0.003113,0.074708,0.117788,0
1352711960.453,0,-0.069410,0.061304,0.040643,0
1352711960.463,0,-0.121268,0.046938,0.013500,0
1352711960.474,0,-0.117522,0.039717,0.048087,0
1352711960.485,0,-0.112414,0.022836,0.063811,0
1352711960.496,0,-0.141126,0.030235,0.119240,0
1352711960.506,0,-0.194756,0.035159,0.123952,0
1352711960.517,0,-0.199161,0.013622,0.120818,0
1352711960.528,0,-0.188152,-0.010684,0.126815,0
1352711960.539,0,-0.113725,-0.040777,0.121004,0
1352711960.549,0,0.040313,-0.064707,0.064083,0
1352711960.560,0,0.108618,-0.071874,0.001843,0
1352711960.571,0,0.091441,-0.060306,-0.036983,0
1352711960.582,0,0.057153,-0.052204,-0.083772,0
1352711960.592,0,0.020119,-0.033463,-0.139183,0
1352711960.603,0,-0.028763,0.014995,-0.208356,0
1352711960.614,0,-0.002730,0.010817,-0.200523,0
1352711960.625,0,0.020704,-0.010795,-0.116668,0
1352711960.635,0,0.031140,-0.009971,-0.061615,0
1352711960.646,0,0.029202,0.000705,-0.030343,0
1352711960.657,0,0.036866,0.005430,0.003873,0
1352711960.668,0,0.045961,0.019126,-0.002764,0
1352711960.678,0,0.084748,0.013393,-0.023408,0
1352711960.689,0,0.123477,0.002090,-0.048668,0
1352711960.700,0,0.144040,0.003174,-0.035461,0
1352711960.711,0,0.120146,0.007977,-0.004155,0
1352711960.721,0,0.028423,0.026780,0.072717,0
1352711960.732,0,-0.010425,0.021336,0.097672,0
1352711960.743,0,-0.042277,0.028561,0.085416,0
1352711960.754,0,-0.074798,0.052743,0.076892,0
1352711960.764,0,-0.077660,0.042824,0.023904,0
1352711960.775,0,-0.080238,0.017082,-0.044065,0
1352711960.786,0,-0.068176,0.008091,-0.085067,0
1352711960.797,0,-0.012099,0.018077,-0.121523,0
1352711960.807,0,0.068135,0.048899,-0.154625,0
1352711960.818,0,0.143898,0.077521,-0.170517,0
1352711960.829,0,0.187053,0.095481,-0.172753,0
1352711960.840,0,0.181393,0.112953,-0.111838,0
1352711960.850,0,0.149663,0.123287,-0.056191,0
1352711960.861,0,0.072742,0.097119,-0.022152,0
1352711960.872,0,0.009721,0.055553,0.014673,0
1352711960.882,0,0.008125,0.028252,0.055484,0
