Seconds.milliseconds since 1970,Queue size of CMController,Acceleration value in x-direction,Acceleration value in y-direction,Acceleration value in z-direction,Label used for the current sample
1352711975.003,0,0.010517,-0.007774,-0.040935,0
1352711975.014,0,0.010571,-0.006060,-0.017126,0
1352711975.025,0,0.009977,0.000010,-0.002934,0
1352711975.035,0,0.008016,0.005618,0.006941,0
1352711975.046,0,0.007797,0.007277,0.011178,0
1352711975.057,0,0.004163,0.009784,0.017416,0
1352711975.067,0,0.005851,0.010704,0.019429,0
1352711975.078,0,-0.000837,0.007941,0.022475,0
1352711975.089,0,-0.007487,0.002169,0.022301,0
1352711975.100,0,-0.010489,0.009830,0.009202,0
1352711975.110,0,-0.008015,0.003789,0.002169,0
1352711975.121,0,-0.004370,0.002253,-0.003057,0
1352711975.132,0,-0.006796,0.004140,-0.007313,0
1352711975.143,0,-0.000026,-0.004374,-0.006706,0
1352711975.153,0,0.008043,-0.002630,-0.005661,0
1352711975.164,0,0.008199,0.001984,-0.004610,0
1352711975.175,0,0.004558,-0.003002,-0.007870,0
1352711975.186,0,-0.002496,-0.003778,0.001391,0
1352711975.196,0,-0.002911,0.005236,-0.021829,0
1352711975.207,0,0.011000,0.009051,-0.008327,0
1352711975.218,0,0.026384,0.001295,0.011098,0
1352711975.229,0,0.018930,-0.009713,0.013634,0
1352711975.239,0,0.008160,-0.013698,-0.002756,0
1352711975.250,0,0.002098,-0.012160,-0.010582,0
1352711975.261,0,0.003862,-0.005616,-0.022607,0
1352711975.272,0,0.026455,-0.003396,-0.005457,0
1352711975.282,0,0.029066,0.004999,0.002084,0
1352711975.293,0,0.024116,0.005147,0.005052,0
1352711975.304,0,0.018461,0.000080,0.019304,0
1352711975.315,0,-0.004033,0.009976,-0.002533,0
1352711975.325,0,-0.007122,0.007538,0.005012,0
1352711975.336,0,-0.008027,-0.004471,-0.010158,0
1352711975.347,0,0.003631,-0.031945,-0.095753,0
1352711975.358,0,0.022584,-0.030322,-0.144037,0
1352711975.368,0,0.022164,-0.024417,-0.142622,0
1352711975.379,0,-0.028974,-0.027312,-0.134234,0
1352711975.390,0,-0.040367,-0.025047,-0.110844,0
1352711975.401,0,0.023508,0.033970,-0.031614,0
1352711975.411,0,0.036875,0.074850,0.033667,0
1352711975.422,0,0.041168,0.078677,0.049621,0
1352711975.433,0,0.047907,0.049574,0.138004,0
1352711975.444,0,0.025235,0.009435,0.166456,0
1352711975.454,0,-0.002891,0.005107,0.170540,0
1352711975.465,0,-0.002680,0.040685,0.134585,0
1352711975.476,0,0.018260,0.066160,0.088879,0
1352711975.487,0,0.053942,0.052747,0.043415,0
1352711975.497,0,0.078271,0.052672,0.019548,0
1352711975.508,0,0.078291,0.054285,-0.005130,0
1352711975.519,0,0.074511,0.048384,-0.021158,0
1352711975.530,0,0.031280,0.025725,-0.044528,0
1352711975.540,0,-0.008375,0.016887,-0.055473,0
1352711975.551,0,-0.072660,-0.017021,-0.092101,0
1352711975.562,0,-0.170349,-0.038518,-0.089428,0
1352711975.573,0,-0.220259,-0.060541,-0.032292,0
1352711975.583,0,-0.065688,-0.057741,0.001220,0
1352711975.594,0,-0.085246,-0.032082,-0.025845,0
1352711975.605,0,-0.063400,-0.028407,-0.051716,0
1352711975.616,0,-0.030472,-0.032222,-0.006911,0
1352711975.626,0,-0.019512,-0.024509,0.050187,0
1352711975.637,0,-0.017242,-0.008390,0.042287,0
1352711975.648,0,-0.003902,-0.008302,-0.003992,0
1352711975.658,0,-0.016642,-0.018824,-0.041528,0
1352711975.669,0,-0.055063,-0.012179,-0.024656,0
1352711975.680,0,-0.039570,-0.023853,-0.025678,0
1352711975.691,0,-0.052763,-0.031337,-0.000365,0
1352711975.701,0,-0.038876,-0.046807,0.022286,0
1352711975.712,0,-0.015754,-0.035125,0.016881,0
1352711975.723,0,-0.010649,-0.017540,-0.006781,0
1352711975.734,0,-0.013669,-0.019577,-0.035726,0
1352711975.744,0,-0.014418,-0.011239,-0.045289,0
1352711975.755,0,0.023153,-0.006361,-0.025370,0
1352711975.766,0,0.050820,-0.004907,0.003747,0
1352711975.777,0,0.019653,0.020470,0.046142,0
1352711975.787,0,-0.022740,0.002157,0.058261,0
1352711975.798,0,-0.017478,0.000634,0.033262,0
1352711975.809,0,-0.013734,0.011607,0.040455,0
1352711975.820,0,-0.022514,0.019928,0.013160,0
1352711975.830,0,0.008947,0.022640,0.016329,0
1352711975.841,0,0.031811,0.036216,-0.003308,0
1352711975.852,0,0.038159,0.026576,-0.064956,0
1352711975.863,0,0.051136,0.014332,-0.097114,0
1352711975.873,0,0.050989,0.026436,-0.094623,0
1352711975.884,0,0.041767,0.024825,-0.046773,0
1352711975.895,0,0.024186,0.030799,0.003810,0
1352711975.906,0,-0.021043,0.013816,0.066552,0
1352711975.916,0,-0.024983,0.012354,0.065557,0
1352711975.927,0,-0.014819,0.012732,0.038736,0
1352711975.938,0,0.003094,0.017244,0.010686,0
1352711975.949,0,0.010283,0.012695,0.004845,0
1352711975.959,0,0.011892,0.018871,0.027115,0
1352711975.970,0,0.004451,0.013946,0.038771,0
1352711975.981,0,0.015949,0.009030,0.001599,0
1352711975.992,0,-0.001350,0.020514,-0.174296,0
1352711976.002,0,0.017203,-0.000956,-0.151919,0
1352711976.013,0,0.010957,0.006637,-0.097841,0
1352711976.024,0,-0.017136,-0.026497,0.002154,0
1352711976.035,0,-0.048126,-0.020621,0.007004,0
1352711976.045,0,-0.022170,-0.014196,0.013632,0
1352711976.056,0,-0.008294,-0.003596,0.018688,0
1352711976.067,0,0.003713,0.012561,0.023394,0
1352711976.078,0,0.006506,0.013489,-0.009078,0
1352711976.088,0,0.009662,0.014533,-0.016937,0
1352711976.099,0,0.032978,0.020896,-0.026428,0
1352711976.110,0,0.042715,0.023526,-0.033602,0
1352711976.121,0,0.020752,0.014191,-0.051923,0
1352711976.131,0,0.003772,0.007433,-0.035648,0
1352711976.142,0,0.015496,0.006665,0.051864,0
1352711976.153,0,-0.003893,0.007934,0.046708,0
1352711976.164,0,-0.005613,0.006222,0.044843,0
1352711976.174,0,-0.027001,0.003088,0.026444,0
1352711976.185,0,-0.023860,-0.003521,0.010310,0
1352711976.196,0,-0.033682,-0.001354,-0.012392,0
1352711976.207,0,-0.043956,-0.004654,-0.030716,0
1352711976.217,0,-0.035952,-0.004078,-0.034990,0
1352711976.228,0,-0.016147,0.002363,-0.034369,0
1352711976.239,0,-0.003650,-0.002977,-0.030025,0
1352711976.249,0,-0.035240,-0.013908,-0.007945,0
1352711976.260,0,-0.024409,-0.003700,0.004075,0
1352711976.271,0,0.024068,0.005357,-0.001482,0
1352711976.282,0,0.001800,0.008229,0.005631,0
1352711976.292,0,-0.012834,0.005286,0.007842,0
1352711976.303,0,-0.026532,0.002126,-0.005164,0
1352711976.314,0,-0.021641,0.004660,-0.027197,0
1352711976.325,0,0.000799,0.005777,-0.031597,0
1352711976.335,0,0.008937,0.014891,-0.015181,0
1352711976.346,0,0.011321,0.018848,-0.000764,0
1352711976.357,0,0.034534,0.025302,-0.011158,0
1352711976.368,0,0.036058,0.033619,-0.040860,0
1352711976.378,0,-0.029163,0.017321,-0.027049,0
1352711976.389,0,-0.019697,0.022741,0.015990,0
1352711976.400,0,-0.005888,0.018548,0.035110,0
1352711976.411,0,-0.002236,0.022892,0.027858,0
1352711976.421,0,-0.011170,0.023511,-0.001198,0
1352711976.432,0,0.019540,-0.003991,-0.039867,0
1352711976.443,0,0.023571,-0.020305,-0.053849,0
1352711976.454,0,-0.001402,-0.012029,-0.048375,0
1352711976.464,0,0.019605,0.011599,-0.041648,0
1352711976.475,0,0.017404,0.026786,-0.015696,0
1352711976.486,0,0.013169,0.009169,-0.009102,0
1352711976.497,0,-0.017947,0.033796,0.042424,0
1352711976.507,0,-0.005388,0.027694,0.074903,0
1352711976.518,0,0.017659,0.031472,0.080602,0
1352711976.529,0,0.042582,0.034451,0.047847,0
1352711976.540,0,0.033132,0.026770,-0.019899,0
1352711976.550,0,0.006891,0.006968,-0.069194,0
1352711976.561,0,-0.015728,-0.006980,-0.081694,0
1352711976.572,0,-0.015436,-0.006744,-0.059893,0
1352711976.583,0,-0.027867,0.008141,-0.030222,0
1352711976.593,0,-0.008407,0.002962,-0.014847,0
1352711976.604,0,-0.007236,0.017393,-0.028860,0
1352711976.615,0,0.015716,0.027221,-0.043389,0
1352711976.626,0,0.017109,0.028914,0.004816,0
1352711976.636,0,0.012462,0.023634,0.053972,0
1352711976.647,0,-0.028937,-0.009341,0.111149,0
1352711976.658,0,-0.020058,-0.012368,0.064504,0
1352711976.669,0,-0.012525,-0.012241,-0.037012,0
1352711976.679,0,-0.001288,-0.011931,-0.154319,0
1352711976.690,0,-0.014480,-0.011698,-0.051635,0
1352711976.701,0,-0.027616,0.013965,0.042722,0
1352711976.712,0,-0.042560,0.002441,0.046489,0
1352711976.722,0,-0.007017,-0.013620,-0.009418,0
1352711976.733,0,0.025936,-0.002916,-0.130291,0
1352711976.744,0,0.027038,0.010250,-0.121479,0
1352711976.755,0,-0.001331,-0.000567,-0.034549,0
1352711976.765,0,-0.026551,-0.009693,0.071585,0
1352711976.776,0,-0.057861,0.035286,0.076009,0
1352711976.787,0,-0.046255,-0.003044,0.080873,0
1352711976.798,0,-0.025309,-0.002760,0.045342,0
1352711976.808,0,-0.032892,-0.010109,0.010572,0
1352711976.819,0,-0.025032,-0.001580,0.034411,0
1352711976.830,0,-0.044962,0.008428,0.069287,0
1352711976.840,0,-0.058515,-0.010271,0.100065,0
1352711976.851,0,-0.009887,0.001916,0.004319,0
1352711976.862,0,0.012611,0.005537,-0.008581,0
1352711976.873,0,0.013395,0.005065,-0.015008,0
1352711976.883,0,0.014944,0.004583,-0.006148,0
1352711976.894,0,0.020213,0.006053,-0.015872,0
1352711976.905,0,0.035060,0.009303,-0.038740,0
1352711976.916,0,0.033287,0.011277,-0.063012,0
1352711976.926,0,0.044043,0.010992,-0.076681,0
1352711976.937,0,0.052607,0.010724,-0.075023,0
1352711976.948,0,0.045081,0.008678,-0.067441,0
1352711976.959,0,0.032976,0.007049,-0.046327,0
1352711976.969,0,0.015370,-0.005567,-0.013899,0
1352711976.980,0,0.011242,0.016135,-0.008544,0
1352711976.991,0,0.007218,0.014616,-0.012533,0
1352711977.002,0,0.015095,0.019180,-0.007248,0
1352711977.012,0,0.012548,0.017441,-0.006691,0
